"","pilot_area","s_b","day_type","from","occupancy","rate","new_rate","03RD ST 400","03RD ST 300","02ND ST 500","03RD ST 500","BERRY ST 400","KING ST 100","BRYANT ST 500","HAWTHORNE ST 100","SOUTH PARK 100","TOWNSEND ST 0","BERRY ST 300","02ND ST 400","BRYANT ST 300","BRYANT ST 400","RITCH ST 300","SOUTH PARK 0","02ND ST 700","BRANNAN ST 200","TOWNSEND ST 200","BRANNAN ST 500","05TH ST 600","BRANNAN ST 300","BRANNAN ST 400","FOLSOM ST 600","03RD ST 700","MAIN ST 300","01ST ST 300","HARRISON ST 100","03RD ST 600","TOWNSEND ST 100","02ND ST 300","02ND ST 600","BERRY ST 200","HARRISON ST 500","SPEAR ST 300","BERRY ST 100","HARRISON ST 0","FOLSOM ST 500","FOLSOM ST 0","KING ST 200","TOWNSEND ST 300","04TH ST 500","04TH ST 600","SPEAR ST 400"
"1","South Embarcadero","03RD ST 400","Weekday","12:00 PM",94,"1","1.25","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"2","South Embarcadero","03RD ST 400","Weekday","Open",87,"0.75","1","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"3","South Embarcadero","03RD ST 300","Weekday","12:00 PM",86,"2","2.25","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"4","South Embarcadero","03RD ST 400","Weekday","3:00 PM",85,"1","1.25","1","2.75","3","1.75","1","3.75","1.25","2.25","2.25","2.75","0.5","3","1.25","1","2","4.25","1.25","1.5","3.25","1.25","0.5","2.5","3.5","3.5","2.75","4.25","1.5","3","2.5","2.75","4.5","2.5","4.25","0.25","5.25","3.5","3.75","2.75","4.25","2.5","2.5","1.25","0.75","3.5"
"5","South Embarcadero","02ND ST 500","Weekday","Open",83,"1","1.25","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"6","South Embarcadero","03RD ST 300","Weekend","12:00 PM",83,"0.75","1","0.25","0.75","3","0.25","1.25","3","0.25","0.5","1.25","3","2.25","0.25","0.25","0.25","1.25","3.5","3.5","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.75","1.5","0.25","0.25","3.5","0.75","1.25","4.25","0.25","2.5","3","2.75","1","2","2.75","2.25","1.25","0.25","2.75"
"7","South Embarcadero","03RD ST 300","Weekend","3:00 PM",83,"1.25","1.5","0.25","1.25","2.25","0.25","1.75","2.5","0.25","0.5","0.25","2.5","3.5","0.25","0.25","0.25","1","2.75","3","0.25","4.5","0.25","0.25","0.25","0.5","1.5","4.25","1.25","3","0.5","0.25","3.25","0.5","0.5","4.25","0.25","2.25","3","1.5","1","1.25","2.75","2.25","1.25","0.75","2.5"
"8","South Embarcadero","03RD ST 500","Weekday","12:00 PM",83,"2.75","3","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"9","South Embarcadero","BERRY ST 400","Weekday","12:00 PM",83,"1","1.25","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"10","South Embarcadero","KING ST 100","Weekend","6:00 PM",83,"0.25","0.5","0","0","0.25","0.25","0.25","0.25","0.25","0","0.25","0.25","0.75","0","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.5","0","0.75","0","0","0.25","0.25","0.25","0","0.25","0.75","0","0","0.25","0.25","0","0","0.25","0.25","0.25","0.25","0.25"
"11","South Embarcadero","BERRY ST 400","Weekday","Open",82,"0.5","0.75","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"12","South Embarcadero","02ND ST 500","Weekday","12:00 PM",81,"4","4.25","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"13","South Embarcadero","03RD ST 300","Weekday","Open",81,"0.5","0.75","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"14","South Embarcadero","BRYANT ST 500","Weekday","Open",81,"1.5","1.75","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"15","South Embarcadero","BRYANT ST 500","Weekday","12:00 PM",81,"3","3.25","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"16","South Embarcadero","HAWTHORNE ST 100","Weekend","12:00 PM",81,"0.5","0.75","0.25","0.75","3","0.25","1.25","3","0.25","0.5","1.25","3","2.25","0.25","0.25","0.25","1.25","3.5","3.5","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.75","1.5","0.25","0.25","3.5","0.75","1.25","4.25","0.25","2.5","3","2.75","1","2","2.75","2.25","1.25","0.25","2.75"
"17","South Embarcadero","HAWTHORNE ST 100","Weekend","3:00 PM",81,"0.5","0.75","0.25","1.25","2.25","0.25","1.75","2.5","0.25","0.5","0.25","2.5","3.5","0.25","0.25","0.25","1","2.75","3","0.25","4.5","0.25","0.25","0.25","0.5","1.5","4.25","1.25","3","0.5","0.25","3.25","0.5","0.5","4.25","0.25","2.25","3","1.5","1","1.25","2.75","2.25","1.25","0.75","2.5"
"18","South Embarcadero","SOUTH PARK 100","Weekday","12:00 PM",80,"4.25","4.5","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"19","South Embarcadero","TOWNSEND ST 0","Weekend","6:00 PM",80,"0.25","0.5","0","0","0.25","0.25","0.25","0.25","0.25","0","0.25","0.25","0.75","0","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.5","0","0.75","0","0","0.25","0.25","0.25","0","0.25","0.75","0","0","0.25","0.25","0","0","0.25","0.25","0.25","0.25","0.25"
"20","South Embarcadero","03RD ST 300","Weekday","3:00 PM",79,"2.75","2.75","1","2.75","3","1.75","1","3.75","1.25","2.25","2.25","2.75","0.5","3","1.25","1","2","4.25","1.25","1.5","3.25","1.25","0.5","2.5","3.5","3.5","2.75","4.25","1.5","3","2.5","2.75","4.5","2.5","4.25","0.25","5.25","3.5","3.75","2.75","4.25","2.5","2.5","1.25","0.75","3.5"
"21","South Embarcadero","BERRY ST 300","Weekday","12:00 PM",79,"2","2","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"22","South Embarcadero","02ND ST 400","Weekday","Open",78,"0.75","0.75","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"23","South Embarcadero","BRYANT ST 300","Weekday","Open",77,"1.5","1.5","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"24","South Embarcadero","BRYANT ST 400","Weekday","12:00 PM",77,"2.75","2.75","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"25","South Embarcadero","RITCH ST 300","Weekday","6:00 PM",77,"0.5","0.5","0","0","0.25","0.25","0.25","0.25","0.25","0","0.25","0.25","0.5","0","0.25","0.25","0.5","0.25","0.25","0.25","0.25","0.25","0.25","0.25","1","0","0.75","0","0","0.25","0.25","0.25","0","0.25","0.5","0","0","0.25","0.25","0","0","0.25","0.25","0.25","0.25","0.25"
"26","South Embarcadero","SOUTH PARK 0","Weekday","12:00 PM",77,"5.25","5.25","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"27","South Embarcadero","02ND ST 700","Weekend","6:00 PM",76,"0.25","0.25","0","0","0.25","0.25","0.25","0.25","0.25","0","0.25","0.25","0.75","0","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.5","0","0.75","0","0","0.25","0.25","0.25","0","0.25","0.75","0","0","0.25","0.25","0","0","0.25","0.25","0.25","0.25","0.25"
"28","South Embarcadero","BRANNAN ST 200","Weekend","12:00 PM",76,"0.25","0.25","0.25","0.75","3","0.25","1.25","3","0.25","0.5","1.25","3","2.25","0.25","0.25","0.25","1.25","3.5","3.5","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.75","1.5","0.25","0.25","3.5","0.75","1.25","4.25","0.25","2.5","3","2.75","1","2","2.75","2.25","1.25","0.25","2.75"
"29","South Embarcadero","BRYANT ST 300","Weekday","12:00 PM",76,"3","3","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"30","South Embarcadero","TOWNSEND ST 200","Weekend","6:00 PM",76,"0.25","0.25","0","0","0.25","0.25","0.25","0.25","0.25","0","0.25","0.25","0.75","0","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.5","0","0.75","0","0","0.25","0.25","0.25","0","0.25","0.75","0","0","0.25","0.25","0","0","0.25","0.25","0.25","0.25","0.25"
"31","South Embarcadero","BRANNAN ST 200","Weekend","Open",75,"0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.5","2.75","2.5","0.25","0.25","0.25","0.25","0.25","0.25","0.25","1.25","0.25","0.25","0.25","0.25","0.25","0.75","0.25","1","0.25","0.25","0.75","0.25","0.25","4.25","0.25","0.5","2.75","0.25","1","0.75","2.5","2.25","0.5","0.25","0.75"
"32","South Embarcadero","BRANNAN ST 500","Weekday","12:00 PM",75,"2.75","2.75","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"33","South Embarcadero","BERRY ST 300","Weekday","Open",75,"0.75","0.75","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"34","South Embarcadero","RITCH ST 300","Weekday","12:00 PM",75,"2.5","2.5","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"35","South Embarcadero","TOWNSEND ST 200","Weekday","6:00 PM",75,"0.25","0.25","0","0","0.25","0.25","0.25","0.25","0.25","0","0.25","0.25","0.5","0","0.25","0.25","0.5","0.25","0.25","0.25","0.25","0.25","0.25","0.25","1","0","0.75","0","0","0.25","0.25","0.25","0","0.25","0.5","0","0","0.25","0.25","0","0","0.25","0.25","0.25","0.25","0.25"
"36","South Embarcadero","03RD ST 400","Weekend","3:00 PM",74,"0.25","0.25","0.25","1.25","2.25","0.25","1.75","2.5","0.25","0.5","0.25","2.5","3.5","0.25","0.25","0.25","1","2.75","3","0.25","4.5","0.25","0.25","0.25","0.5","1.5","4.25","1.25","3","0.5","0.25","3.25","0.5","0.5","4.25","0.25","2.25","3","1.5","1","1.25","2.75","2.25","1.25","0.75","2.5"
"37","South Embarcadero","05TH ST 600","Weekday","12:00 PM",74,"2","2","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"38","South Embarcadero","BRANNAN ST 300","Weekday","12:00 PM",74,"4.5","4.5","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"39","South Embarcadero","BRANNAN ST 400","Weekday","12:00 PM",74,"4.25","4.25","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"40","South Embarcadero","BRYANT ST 400","Weekday","Open",74,"1.5","1.5","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"41","South Embarcadero","FOLSOM ST 600","Weekend","12:00 PM",74,"1.25","1.25","0.25","0.75","3","0.25","1.25","3","0.25","0.5","1.25","3","2.25","0.25","0.25","0.25","1.25","3.5","3.5","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.75","1.5","0.25","0.25","3.5","0.75","1.25","4.25","0.25","2.5","3","2.75","1","2","2.75","2.25","1.25","0.25","2.75"
"42","South Embarcadero","SOUTH PARK 0","Weekday","Open",74,"3.5","3.5","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"43","South Embarcadero","BRANNAN ST 500","Weekday","Open",73,"0.75","0.75","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"44","South Embarcadero","BERRY ST 300","Weekend","6:00 PM",73,"0.75","0.75","0","0","0.25","0.25","0.25","0.25","0.25","0","0.25","0.25","0.75","0","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.5","0","0.75","0","0","0.25","0.25","0.25","0","0.25","0.75","0","0","0.25","0.25","0","0","0.25","0.25","0.25","0.25","0.25"
"45","South Embarcadero","FOLSOM ST 600","Weekend","3:00 PM",73,"1.5","1.5","0.25","1.25","2.25","0.25","1.75","2.5","0.25","0.5","0.25","2.5","3.5","0.25","0.25","0.25","1","2.75","3","0.25","4.5","0.25","0.25","0.25","0.5","1.5","4.25","1.25","3","0.5","0.25","3.25","0.5","0.5","4.25","0.25","2.25","3","1.5","1","1.25","2.75","2.25","1.25","0.75","2.5"
"46","South Embarcadero","02ND ST 400","Weekday","12:00 PM",72,"3.75","3.75","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"47","South Embarcadero","02ND ST 500","Weekday","3:00 PM",72,"3","3","1","2.75","3","1.75","1","3.75","1.25","2.25","2.25","2.75","0.5","3","1.25","1","2","4.25","1.25","1.5","3.25","1.25","0.5","2.5","3.5","3.5","2.75","4.25","1.5","3","2.5","2.75","4.5","2.5","4.25","0.25","5.25","3.5","3.75","2.75","4.25","2.5","2.5","1.25","0.75","3.5"
"48","South Embarcadero","03RD ST 700","Weekday","6:00 PM",72,"0.75","0.75","0","0","0.25","0.25","0.25","0.25","0.25","0","0.25","0.25","0.5","0","0.25","0.25","0.5","0.25","0.25","0.25","0.25","0.25","0.25","0.25","1","0","0.75","0","0","0.25","0.25","0.25","0","0.25","0.5","0","0","0.25","0.25","0","0","0.25","0.25","0.25","0.25","0.25"
"49","South Embarcadero","05TH ST 600","Weekday","Open",72,"1.25","1.25","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"50","South Embarcadero","05TH ST 600","Weekday","3:00 PM",72,"0.5","0.5","1","2.75","3","1.75","1","3.75","1.25","2.25","2.25","2.75","0.5","3","1.25","1","2","4.25","1.25","1.5","3.25","1.25","0.5","2.5","3.5","3.5","2.75","4.25","1.5","3","2.5","2.75","4.5","2.5","4.25","0.25","5.25","3.5","3.75","2.75","4.25","2.5","2.5","1.25","0.75","3.5"
"51","South Embarcadero","RITCH ST 300","Weekend","12:00 PM",72,"1.25","1.25","0.25","0.75","3","0.25","1.25","3","0.25","0.5","1.25","3","2.25","0.25","0.25","0.25","1.25","3.5","3.5","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.75","1.5","0.25","0.25","3.5","0.75","1.25","4.25","0.25","2.5","3","2.75","1","2","2.75","2.25","1.25","0.25","2.75"
"52","South Embarcadero","SOUTH PARK 100","Weekday","Open",72,"1","1","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"53","South Embarcadero","03RD ST 700","Weekend","6:00 PM",71,"0.75","0.75","0","0","0.25","0.25","0.25","0.25","0.25","0","0.25","0.25","0.75","0","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.5","0","0.75","0","0","0.25","0.25","0.25","0","0.25","0.75","0","0","0.25","0.25","0","0","0.25","0.25","0.25","0.25","0.25"
"54","South Embarcadero","BRANNAN ST 400","Weekday","Open",71,"1.25","1.25","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"55","South Embarcadero","BERRY ST 300","Weekday","3:00 PM",71,"0.5","0.5","1","2.75","3","1.75","1","3.75","1.25","2.25","2.25","2.75","0.5","3","1.25","1","2","4.25","1.25","1.5","3.25","1.25","0.5","2.5","3.5","3.5","2.75","4.25","1.5","3","2.5","2.75","4.5","2.5","4.25","0.25","5.25","3.5","3.75","2.75","4.25","2.5","2.5","1.25","0.75","3.5"
"56","South Embarcadero","HAWTHORNE ST 100","Weekend","Open",71,"0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.5","2.75","2.5","0.25","0.25","0.25","0.25","0.25","0.25","0.25","1.25","0.25","0.25","0.25","0.25","0.25","0.75","0.25","1","0.25","0.25","0.75","0.25","0.25","4.25","0.25","0.5","2.75","0.25","1","0.75","2.5","2.25","0.5","0.25","0.75"
"57","South Embarcadero","MAIN ST 300","Weekday","Open",71,"1.5","1.5","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"58","South Embarcadero","MAIN ST 300","Weekend","Open",71,"0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.5","2.75","2.5","0.25","0.25","0.25","0.25","0.25","0.25","0.25","1.25","0.25","0.25","0.25","0.25","0.25","0.75","0.25","1","0.25","0.25","0.75","0.25","0.25","4.25","0.25","0.5","2.75","0.25","1","0.75","2.5","2.25","0.5","0.25","0.75"
"59","South Embarcadero","MAIN ST 300","Weekend","12:00 PM",71,"0.75","0.75","0.25","0.75","3","0.25","1.25","3","0.25","0.5","1.25","3","2.25","0.25","0.25","0.25","1.25","3.5","3.5","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.75","1.5","0.25","0.25","3.5","0.75","1.25","4.25","0.25","2.5","3","2.75","1","2","2.75","2.25","1.25","0.25","2.75"
"60","South Embarcadero","03RD ST 500","Weekday","Open",70,"1","1","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"61","South Embarcadero","BRANNAN ST 300","Weekday","Open",70,"1.5","1.5","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"62","South Embarcadero","BRYANT ST 500","Weekday","3:00 PM",70,"1.25","1.25","1","2.75","3","1.75","1","3.75","1.25","2.25","2.25","2.75","0.5","3","1.25","1","2","4.25","1.25","1.5","3.25","1.25","0.5","2.5","3.5","3.5","2.75","4.25","1.5","3","2.5","2.75","4.5","2.5","4.25","0.25","5.25","3.5","3.75","2.75","4.25","2.5","2.5","1.25","0.75","3.5"
"63","South Embarcadero","FOLSOM ST 600","Weekend","Open",70,"0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.5","2.75","2.5","0.25","0.25","0.25","0.25","0.25","0.25","0.25","1.25","0.25","0.25","0.25","0.25","0.25","0.75","0.25","1","0.25","0.25","0.75","0.25","0.25","4.25","0.25","0.5","2.75","0.25","1","0.75","2.5","2.25","0.5","0.25","0.75"
"64","South Embarcadero","MAIN ST 300","Weekend","3:00 PM",70,"1.25","1.25","0.25","1.25","2.25","0.25","1.75","2.5","0.25","0.5","0.25","2.5","3.5","0.25","0.25","0.25","1","2.75","3","0.25","4.5","0.25","0.25","0.25","0.5","1.5","4.25","1.25","3","0.5","0.25","3.25","0.5","0.5","4.25","0.25","2.25","3","1.5","1","1.25","2.75","2.25","1.25","0.75","2.5"
"65","South Embarcadero","RITCH ST 300","Weekday","3:00 PM",70,"2","2","1","2.75","3","1.75","1","3.75","1.25","2.25","2.25","2.75","0.5","3","1.25","1","2","4.25","1.25","1.5","3.25","1.25","0.5","2.5","3.5","3.5","2.75","4.25","1.5","3","2.5","2.75","4.5","2.5","4.25","0.25","5.25","3.5","3.75","2.75","4.25","2.5","2.5","1.25","0.75","3.5"
"66","South Embarcadero","01ST ST 300","Weekend","12:00 PM",69,"1.5","1.5","0.25","0.75","3","0.25","1.25","3","0.25","0.5","1.25","3","2.25","0.25","0.25","0.25","1.25","3.5","3.5","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.75","1.5","0.25","0.25","3.5","0.75","1.25","4.25","0.25","2.5","3","2.75","1","2","2.75","2.25","1.25","0.25","2.75"
"67","South Embarcadero","03RD ST 700","Weekday","12:00 PM",69,"4.75","4.75","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
